Road,Road_encoded
Mercedes Avenue,4993
Ascot Avenue,494
East Pine Avenue,2660
Osborne Loop Crosscut,5970
East 115th Street,2322
Sunset Avenue,7912
Norman Strasse Road,5415
Robinson Street,6709
East Victoria Street,2737
Caballo Drive,1206
West 166th Street,8602
East 17th Street,2332
Desio Lane,2168
Filbert Street,3101
West 41st Street,8631
1st Street,41
Bethany Road,830
Oswell Street,5974
Pico Canyon Service Road,6218
Anthony Road,395
West Los Olivos Street,8822
Perrymont Avenue,6199
Pocket Canyon Highway,6310
Guilitoy Avenue,3540
Hoen Avenue,3792
Rockingham Street,6730
Greeley Street,3481
Bell Road,782
Hillrose Street,3772
East Finley Road,2502
Virginia Place,8473
Poli Street,6322
Bradford Street,1013
Liberty Boulevard,4494
Baker Drive,639
Sabin Street,6854
West California Avenue,8696
Edgewood Court,2787
Frontier Avenue,3245
Craig Avenue,1940
Automall Parkway,542
East Madison Avenue,2592
Jewett Street,4046
Road 13,6671
Mendocino Headlands Bluff Trail,4987
Sierra Springs Drive,7247
Via del Puma,8427
Acacia Street,165
Fulton Street,3257
West Manor Drive,8835
Springbrook North,7733
Gomes Road,3425
Old Olive Highway,5872
George McLaine Boulevard,3329
North Fuller Avenue,5539
Austin Road,537
1st Street,41
Veterans Way,8367
Bruckner Circle,1102
Virginia Drive,8472
Chiquita Bypass,1619
Summit Avenue,7873
Estacada Drive,2959
Woodford Drive,9119
Caleigh Lane,1239
Charter Oak Boulevard,1579
West 168th Street,8603
Recodo Way,6528
West F Street,8743
Carson Road,1446
Newport Avenue,5371
82nd Avenue,138
Clinton Avenue,1720
K Street,4113
Grafton Avenue,3443
South Curson Avenue,7438
19th Street,39
Humboldt Drive,3866
Ocana Avenue,5831
West 47th Place,8633
Haven Street,3644
CA 65,1195
2nd Street,65
Runyon Canyon Road,6830
Beechwood Avenue,770
1st Street,41
Ogan Road,5849
Arcadia Street,434
North Shoreline Boulevard,5704
Chapparal Lane,1566
Santa Anita Court,7010
Pearce Avenue,6157
Harmon Street,3611
North Cerritos Avenue,5484
Walnut Drive,8517
1st Street,41
1st Street,41
Rolling Rock Road,6754
West Olive Avenue,8859
Winter Born Way,9093
Roscoe Boulevard,6777
6th Street,125
Avenue 20,575
Grover Lane,3532
Bruce Drive,1098
East Miraloma Avenue,2611
South Glenroy Avenue,7477
Walters Road,8524
Sunny Creek Road,7895
Bartlett Avenue,708
Eastshore Freeway,2762
North Frederic Street,5537
East Lincoln Avenue,2580
Boyle Street,1004
Avenue 53,600
West Herndon Avenue,8781
1st Avenue,40
Parker Avenue,6086
Palm Desert Drive,6022
Nightingale Avenue,5382
Agundo Street,205
Hudson Street,3861
West Orangethorpe Avenue,8863
Cyrus Lane,2024
Smith Avenue,7322
West Walnut Avenue,8951
Frost Drive,3247
Kempton Road,4159
Albert Place,230
South Vermont Avenue,7662
Spindrift Lane,7717
Grove Shafter Freeway,3531
McKinney Way,4933
Eastwood,2764
Katella Avenue,4123
Palm Avenue,6020
Santa Clara Street,7015
East Lincoln Avenue,2580
Dante Drive,2047
Newport Boulevard,5372
Guernsey Avenue,3539
Albright Avenue,234
Galleon Way,3271
Rainbow Lane,6469
Lapham Way,4370
Woodman Avenue,9132
Broome Ranch Road,1087
Treehenge Lane,8174
Elm Avenue,2892
Mc Kinley Street,4900
Quigley Street,6450
East Janss Road,2556
Cerritos Avenue,1537
Windsor Way,9083
Sunrise Valley Drive,7910
Buckskin Drive,1131
Campbell Avenue,1357
River Run Circle,6651
Sacramento Street,6861
Mountain View Street,5266
Clement Aveue,1709
Rancho de Oro Road,6502
Chapel Avenue,1560
Stevens Avenue,7809
1st Street,41
Parkcrest Street,6084
1st Street,41
Dahlia Drive,2029
Basin Sand & Gravel Company Road,713
Ravenhill Lane,6516
Pickford Street,6217
Menlo Avenue,4989
West 65th Place,8641
East Orange Street,2645
1st Street,41
CA 180,1184
Halyard Drive,3574
1st Street,41
1st Street,41
Tanglewood Way,7994
Petaluma Hill Road,6205
East Fork Road,2510
South Kellogg Avenue,7511
Toledo Road,8114
Tamarind way,7985
Princeton Drive,6402
Foothill Boulevard,3162
Dorothea Road,2241
West 4th Avenue,8635
Washo Drive,8548
Canal Street,1373
Serenity Lane,7134
Skyline Boulevard,7301
Mission Canyon Catway,5117
Sussex Court,7932
Tilden Avenue,8097
South Glenroy Avenue,7477
21st Street,48
Rose Avenue,6778
Nathan Avenue,5318
South Los Carneros Road,7535
Sherman Way,7208
West 58th Street,8637
Rexford Avenue,6582
Central Avenue,1527
3rd Avenue,83
West 80th Street,8647
Junipero Street,4110
Mitchell Drive,5133
57th Avenue,110
Lido Place,4498
Dolores Drive,2219
Fay Avenue,3065
Doane Canyon Road,2203
6th Avenue,124
Magnolia Place,4744
Chino Street,1617
Gate Drive,3305
Chamberlain Avenue,1549
Linear Park Trail,4539
Oildale Drive,5854
Wyandotte Avenue,9163
Crenshaw Boulevard,1959
Rockwell Court,6735
Lynch Road,4703
South Valencia Boulevard,7659
E Street,2308
East 115th Place,2321
Ronada Avenue,6761
North Neptune Avenue,5638
Bostonian Drive,984
McKinney Way,4933
Bardale Avenue,685
Esplanade,2953
Terra Bella Street,8035
Breckenridge Road,1034
1st Street,41
East 7th Street,2365
Melvin Avenue,4981
Long Valley Road,4618
North McClay Street,5617
Morrell Mill Road,5215
Proctor Drive,6407
34th Street 35th Street Alley,76
Galveston Street,3273
Vernal Way,8359
Wilbur Avenue,9017
Saint James Drive,6882
West Mabel Avenue,8827
85th Street West,141
State Avenue,7786
Alveda Avenue,331
Orange Blossom Drive,5930
South Normandie Avenue,7567
Jacob Dekema Freeway,3994
Flora Avenue,3142
Ida Lane,3904
Gardendale Street,3290
1st Street,41
Bollinger Road,961
Ponderosa Avenue,6338
Palo Alto Avenue,6030
CA 49,1193
Melon Court,4978
Elmfield Avenue,2894
Linsdale Lane,4540
San Gabriel River Trail,6945
Northgate Drive,5754
Lotus Lane,4670
El Camino Real,2816
West Elkhorn Boulevard,8741
White Mountain Road,8999
North Myrtle Drive,5635
East 13th Street,2327
Tujunga Canyon Boulevard,8201
1st Street,41
Santa Monica Boulevard,7036
Hawley Boulevard,3649
Via Harriet,8392
Wellington Drive,8583
Valerie Drive,8284
Oxnard Street,5992
Greenbush Avenue,3498
Emerson Road,2912
Knapp Ranch Road,4218
Caselli Avenue,1464
Olive Court,5899
West Pico Boulevard,8871
North Branciforte Avenue,5472
Baseline Road,711
Ardmore Avenue,443
Golden West Avenue,3416
Haledon Avenue,3564
East Yale Avenue,2749
Sherry Court,7209
Acre Street,178
Mora Street,5195
Calistoga Road,1261
Old Topanga Canyon Road,5886
Quill Drive,6451
Fawndale Drive,3063
Hellman Avenue,3690
Putnam Street,6432
Gaddy Lane,3263
Morrill Avenue,5217
Yerxa Road,9181
Memorial Park Trail,4983
Abbeyfield Road,153
Grand Avenue,3451
Glenridge Road,3388
Stonehaven Court,7832
Hidden Valley Road,3730
East 146th Street,2328
Elm Avenue,2892
North Rodeo Gulch Road,5683
Simpson Street,7271
West MacArthur Boulevard,8828
Derby Street,2153
East Duarte Road,2488
East Stetson Avenue,2715
Florio Street,3153
University Drive,8259
Yolanda Court,9185
Woodhue Street,9124
1st Street,41
Hilltop Mall Road,3780
Santa Teresa Boulevard,7046
Empire Street,2922
Newport Boulevard,5372
Poplar Avenue,6345
West Sierra Avenue,8917
Junipero Street,4110
Aptos Court,417
West 3rd Street,8629
Viejo Street,8441
West 37th Place,8626
Chino Avenue,1616
Bamboo Court,665
North Richman Knoll,5675
North West Street,5735
Racquet Club Circle,6458
Wood Street,9113
North Douty Street,5508
Whitehall Lane,9005
Washington Street,8547
Noakes Street,5396
Browning Street,1095
Via Marina,8397
Roycroft Avenue,6820
1st Street,41
Adeline Street,193
North Barton Avenue,5456
Cave Lane,1495
Whitehorse Road,9006
Estrella Avenue,2964
East Huntington Drive,2551
Utah Avenue,8270
Madera Avenue,4728
Mira Mar Avenue,5097
South Street,7638
Winding Lane,9078
1st Street,41
Sweet Avenue,7940
Santa Clara Street,7015
Vespucci Lane,8364
North Colfax Avenue,5491
La Luna Avenue,4266
Business Drive,1165
Stacey Avenue,7751
North D Street,5500
South Tait Street,7644
Hair Lane,3562
Greenfield Drive,3502
Pima Street,6229
Celia Vista Drive,1512
Avenue H,605
1st Street,41
Helen Drive,3687
1st Street,41
1st Street,41
Warren Street,8538
Plummer Street,6303
Tate Terrace,8003
West Washington Boulevard,8953
Georgia Street,3332
Power Avenue,6374
Castlemont Circle,1484
Escalante Drive,2942
Echo Court,2768
Lincoln Avenue,4519
Marlboro Court,4834
Coronado Lane,1849
North Riley Street,5677
1st Street,41
North Cordova Street,5494
19th Street,39
West Goshen Avenue,8761
Queen's Road,6447
Purdue,6429
North Lemon Street,5591
Cully Avenue,2001
Santa Buena Way,7011
Victoria Drive,8436
Riverside Freeway,6663
North Cerritos Avenue,5484
West Bellevue Road,8682
Ceader Hill Road,1501
Hollywood Boulevard,3814
Garden Drive,3281
East 4th Street,2352
East 7th Street,2365
Rocky Creek Road,6737
30th Street,67
Cottonwood Drive,1885
Bowen Ranch Road -JF4325,994
Green Valley Road,3493
John Street,4065
West La Veta Avenue,8799
East Olympic Boulevard,2640
Kemper Street,4156
Alemany Boulevard,243
Glendale Avenue,3375
West Cliff Multipurpose Cycleway,8716
1st Street,41
Carlyle Drive,1417
Fairview Lane,3018
Fillmore Street,3106
81st Avenue,137
Douglas Street,2252
Edwards Avenue,2800
Martin Luther King Junior Boulevard,4852
Granada Street,3450
West Via Corona,8944
South Vermont Avenue,7662
Foye Drive,3206
Moorpark Street,5194
Scirocco Drive,7090
Pacific Coast Highway,5999
Caballo Drive,1206
South Tremaine Avenue,7651
Fallingtree Drive,3033
Aspen Village Way,509
Paseo del Cajon,6122
1st Street,41
West Putnam Avenue,8883
Curlew Court,2009
Arriba Drive,469
1st Street,41
East Clifpark Way,2464
Merritt Drive,5006
East Beach Avenue,2409
South L Street,7515
Husted Avenue,3887
East Altadena Drive,2379
41st Avenue,88
Avenida Chapala,550
1st Street,41
Shasta Court,7176
209th Street,44
Bonita Lane,967
Indian Wells Way,3933
West Myer Avenue,8851
Woodland Interpretive Trail 1E23,9126
Shortridge Avenue,7226
Geoffroy Drive,3327
Fairmount Street,3012
East 106th Street,2319
Federal Avenue,3071
Santa Ysabel Avenue,7049
Flint Avenue,3136
Glorieta East,3395
West 77th Street,8645
East Rio Grande Street,2681
Hidden Lane,3727
Turk Street,8218
East Laurel Avenue,2572
Maze Boulevard,4894
Caselli Avenue,1464
Chapel Avenue,1560
Cedar Avenue,1504
Hiawatha Street,3717
Ort J. Lofthus Freeway,5964
West View Street,8947
Oswell Street,5974
White Sage Trail,9003
Viani Way,8431
Willow Avenue,9044
Greening Avenue,3503
Mountain View Road,5265
Longvue Road,4625
Everett Circle,2985
Judson Avenue,4096
West 48th Street,8634
Pueblo Drive,6422
22nd Street West,51
El Camino Real,2816
Fair Oaks Avenue,2995
Crestwood Street,1979
Azuaga Street,619
Morse Drive,5223
Miwok Trail,5138
1st Street,41
East 35th Street,2344
East Broadway,2430
Isabel Street,3974
Jacob Dekema Freeway,3994
Redwood Lane,6554
Cape May Avenue,1396
Carfax Avenue,1407
Canada de Alisos Road,1369
Colorado Place,1780
Freda Lane,3221
East Erie Street,2495
Arrow Highway,472
North Pacific Avenue,5649
2nd Street,65
Plumas Avenue,6300
Fr Road,3207
East Washington Boulevard,2741
Santaquin Drive,7051
B Street,621
North Citrus Avenue,5488
Niverth Place,5393
Courtland Street,1917
Bay Avenue,721
Tuller Road,8209
Madris Avenue,4734
Milliken Avenue,5072
Noblecrest Court,5401
Santa Clara Place,7013
South Alameda Street,7372
Wildcat Canyon Road,9025
Locust Street,4579
San Diego Freeway,6929
Kammerer Avenue,4119
South Williams Avenue,7679
Birch Street,867
College Avenue,1767
North Imperial Avenue,5573
Longridge Road,4620
County Road N,1913
Stall Avenue,7760
Whitman Road,9009
Cross-Alameda Trail,1991
South Nutwood Street,7568
Taft Highway,7968
34th Street 35th Street Alley,76
Iowa Street,3958
Park Avenue,6066
Mary Avenue,4860
Walnut Avenue,8516
Flanders Road,3129
East Palmdale Boulevard,2653
San Gabriel River Trail,6945
College Way,1773
Birch Avenue,865
Pasadena Avenue,6109
Jubilee Drive,4095
Carta Lane,1449
Camino Mistral,1338
Main Street,4751
Wrigley,9161
Francisquito Avenue,3213
Carlisle Avenue,1410
Warrens Way,8539
Spur Street,7747
East Rio Grande Street,2681
Seven Seas Drive,7146
East Walnut Street,2739
Brimhall Road,1056
El Paseo Street,2845
Business Park Drive,1166
1st Street,41
East River Road,2682
Eddy Street,2771
La Canada Way,4249
Green Acres Drive,3482
High Street,3739
Green Valley Lake Road,3492
East 4th Street,2352
Hazeltine Avenue,3664
Lake Merced Bike Path,4327
40th Street,86
Star Hill Road,7779
East Norris Road,2628
Nau Avenue,5327
Hilmar Road,3784
Mountain View Road,5265
Jasmine Avenue,4015
Fulbright Avenue,3252
12th Street,14
Montrose Avenue,5187
Viejo Street,8441
South East Street,7450
Avalon Circle,546
South Sunkist Street,7640
Camanche Parkway North,1309
North Leonard Street,5593
South Woodland Street,7684
Walters Court,8523
Pacific Avenue,5997
Jacqueline Drive,3997
Redwood Avenue,6550
North Eaton Avenue,5512
Via Mariposa West,8398
East 106th Street,2319
East 106th Street,2319
East Saint John's Parkway,2697
Sunset Place East,7920
Dawson Cove Lane,2081
North Lemon Avenue,5589
Sierra Highway,7240
Marshall Lane,4845
1st Street,41
West Lodge Avenue,8817
South Normandie Avenue,7567
North Pershing Avenue,5662
Indian Cove Trail,3924
Beta Street,828
Pin it You Fairy Part 2,6230
Almond Avenue,306
Vena Avenue,8335
Dixon Street,2200
1st Street,41
West Jackson Street,8790
Winifred Court,9087
Improv Alley,3920
Enadia Way,2925
Paru Street,6107
Walnut Street,8520
North China Lake Boulevard,5487
North Sabina Street,5687
Carnation Avenue,1424
Easter Circle,2756
Navy Road,5330
Manhattan Place,4772
Riviera Circle,6666
1st Street,41
Johnson Drive,4068
West McKenzie Street,8841
Linwood Avenue,4541
East Fairfield Court,2499
Chapman Avenue,1562
California Riding and Hiking Trail,1256
Templeton Street,8024
West Standley Street,8921
I Avenue,3901
Airway Road,218
Bertha Street,826
Baldwin Court,656
Vincent Avenue,8457
6th Street West,127
State Street,7792
West 135th Street,8596
North Charlemagne Avenue,5486
Beachy Avenue,740
South Rita Way,7605
Mulholland Drive,5284
North Pine Avenue,5663
Sweetbriar Drive,7943
Lilac Court,4506
Mount Eden Circle,5236
Frampton Avenue,3208
Folsom Boulevard,3156
Napa Street,5311
East Swanee Lane,2720
South 15th Street,7354
Oxnard Street,5992
West Laurel Street,8807
Udall Street,8247
Haynes Street,3657
West Palmdale Boulevard,8868
East Miner Avenue,2610
Minerva Park,5088
Gardner Court,3292
Wayne Place,8568
Jackson Road,3991
40th Avenue,85
West 3rd Street,8629
Brookshire Avenue,1084
12th Avenue,13
Huron Avenue,3885
17 Mile Drive,33
East 115th Place,2321
1st Street,41
Matoza Lane,4876
64th Street,119
Orna Drive,5956
Crowley Street,1994
West Orange Street,8862
Dewey Drive,2172
Calle Nublado,1288
West La Veta Avenue,8799
CA 85,1199
Norris Avenue,5422
Market Street,4830
Petaluma Avenue,6202
Peach Avenue,6150
Balboa Avenue,647
1st Street,41
Hermosa Street,3705
Pluma Court,6299
Bairnsdale Street,636
Hidden Canyon Way,3725
Emerald Cove Drive,2907
Keswick Street,4177
La Jolla Mesa Drive,4263
Palm Avenue,6020
Wisconsin Street,9098
34th Street,75
Salvio Street,6902
25th Street,58
Adel Avenue,188
Rielly Court,6624
Parrish Court,6104
Barry Avenue,704
Lake View Trail,4332
Beth Olam Gate,829
Walnut Street,8520
Center Road,1521
Kirksey Drive,4209
Butler Street,1169
Area 52,444
Forest Brown Trail,3173
Steele Street,7794
Mc Mahon Drive,4903
Bahia Lane,632
El Dorado Freeway,2831
Glendon Avenue,3379
Elinora Drive,2872
Aster Lane,510
Avenida Esperanza,551
West Manchester Avenue,8832
Quill Drive,6451
1st Street,41
Sky Harbor Road,7295
High Street,3739
Studebaker Road,7853
Kiernan Drive,4183
Columbus Avenue,1788
Cherrywood Street,1599
South Citrus Avenue,7425
Pacific Street,6004
West Bishop Street,8688
Meridian Boulevard,4996
Inverness Road,3953
Le Sage Street,4437
South Burlington Avenue,7407
Kirkwood Avenue,4210
Coronado Street,1850
Wyandotte Avenue,9163
Mesa Verde Drive East,5015
Barry Avenue,704
Paseo Sillin,6116
Glen Haven Ridge,3366
South Beth Circle,7396
Hillrose Street,3772
Los Angeles River Bike Path,4645
Albertson Fire Road,233
Hayworth Lane,3660
Helen Court,3686
South Bender Avenue,7392
Aberdeen Avenue,155
Campanilla,1356
Rench Road,6571
Eolus Avenue,2936
Belmar Circle,794
1st Street,41
King Street,4191
Arrow Lane,473
Chakemco Street,1546
78th Avenue,131
Poplar Avenue,6345
81st Avenue,137
Madison Street,4732
Caminito Canasto,1323
Roselle Avenue,6787
Calle Sierra,1298
Clayton Avenue,1699
Alta Loma Drive,318
Jefferson Street,4029
Alfred Harrell Highway,252
Lowell Lane West,4681
Effie Street,2805
Central Avenue,1527
Paradise Avenue,6055
Virginia Road,8474
Summer Avenue,7860
Alley 90700,284
McLennan Avenue,4938
Redwing,6547
Green Tree Boulevard,3490
Schafer Road,7082
1st Street,41
Melville Drive,4980
East 2nd Avenue,2342
East Hatch Road,2536
Vine Street,8462
Sycamore Avenue,7951
Pacheco Street,5996
Modoc Ditch Trail,5142
February Court,3069
Lafayette Drive,4305
Portola Avenue,6360
Gleness Drive,3382
East Center Street,2451
Veatch Street,8334
North Briggs Road,5473
Cardinal Street,1404
Paseo del Lago East,6124
Denise Drive,2146
Milton Avenue,5077
Tamarack Avenue,7983
Old U.S. Route 99W,5889
Thornton Way,8079
Howell Mountain Road,3855
3rd Avenue,83
Mission Drive,5119
Vernon Avenue,8361
East 32nd Street,2343
Eastbourne Way,2754
Mission View Drive,5130
West Meyers Road,8844
Sierra Vista Lane,7249
West 166th Street,8602
Guilitoy Avenue,3540
Freeport Boulevard,3229
Van Nuys Boulevard,8318
Grogan Avenue,3527
McKinney Way,4933
Millich Lane,5071
Barcon Way,683
Via Barranca,8374
Dickens Street,2185
Jeffrey Road,4031
Truckee River Legacy Trail,8191
Sunset Road,7921
Fairfield Lane,3000
Promenade,6409
Avenue 240,577
Kelsey Street,4152
New Jersey Avenue,5358
San Bernardo Terrace,6920
Bear Valley Road,749
Oak Knoll Road,5794
Willowwick Way,9055
Sierra Crest Way,7236
Atwater Boulevard,527
Alderpoint Road,241
University Avenue,8257
Obrien Place,5828
West Iris Street,8789
Zurich Circle,9211
Rheem Avenue,6585
Coronado Avenue,1847
West Lomita Boulevard,8820
North Mariposa Avenue,5611
Lee Street,4450
Keswick Street,4177
Carver Street,1454
Van Nuys Boulevard,8318
Savannah Street,7065
Walnut Avenue,8516
West Washington Boulevard,8953
Marfield Court,4800
Bufkin Drive,1141
Roscoe Boulevard,6777
North School Street,5700
Standish Lane,7763
Orange Freeway,5932
Cirby Way,1648
Briarwood Road,1047
Avenida Simi,558
Lewis Avenue,4486
Albers Street,228
Barjud Avenue,687
North Nantes Avenue,5636
West 5th Street,8638
Cardiff Street,1402
Van Nuys Boulevard,8318
South Fairbanks Avenue,7457
West la Chiquita Avenue,8965
Van Nuys Boulevard,8318
Randolph Avenue,6504
Antoine Drive,396
McCrory Road,4920
Dodson Street,2208
Utah Street,8271
East Walnut Avenue,2738
Rainwater Drive,6473
East 6th Street,2360
Cabello Street,1208
Austin Street,538
Quill Drive,6451
1st Street,41
Upper Road,8268
Steep Trail,7797
Sinclair Freeway,7275
Lapham Way,4370
Jacob Dekema Freeway,3994
Avenida Herrera,552
Calle Robles,1294
Mine Hill Trail,5083
Alvarado Street,330
North 7th Street,5433
Soquel Avenue,7347
Palm Vista,6024
Picador Boulevard,6214
Convict Trail,1822
Shortridge Avenue,7226
Norwich Avenue,5763
Angell Avenue,382
Lorella Avenue,4634
Long Beach Boulevard,4614
Ardine Street,442
East Commonwealth Avenue,2469
Moorpark Street,5194
East 8th Street,2366
West Kettering Street,8798
Bedford Road,763
Marina Vista Drive,4817
Cameron Drive,1319
Jouglard Street,4087
Ravenna Avenue,6517
Patterson Road,6139
Hill Avenue,3760
Echo Park Avenue,2769
Eureka Avenue,2977
Jesus Maria Road,4045
Washington Street,8547
South H Street,7482
Santa Ana Freeway,7005
Sohnrey Way,7330
East Ann Avenue,2383
Virginia Street,8475
Road 5,6691
Macarthur Avenue,4723
